DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-07,3.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-08,3.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-09,3.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-10,3.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-11,3.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-12,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-01,5.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-02,5.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-03,5.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-04,4.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-05,3.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-06,3.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-07,3.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-08,3.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-09,3.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-10,3.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-11,3.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2000-12,3.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-01,4.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-02,4.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-03,4.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-04,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-05,3.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-06,3.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-07,3.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-08,3.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-09,4.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-10,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-11,4.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2001-12,4.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2002-01,5.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2002-02,5.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2002-03,5.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2002-04,4.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2002-05,3.7,
